market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
180,21,188,0,0,25,0,0,47,38,51,40,7.08,24,1351.72,False,False,True,False,False,True,False,0
24,36,195,57,49,48,29,38,0,0,0,0,6.82,27,1351.72,False,True,False,False,False,True,False,7
79,20,190,39,48,43,47,41,0,0,0,0,6.76,24,1351.72,True,False,False,False,False,False,True,3
140,29,195,0,0,16,0,0,39,21,53,48,7.03,21,1351.72,False,False,True,False,False,False,True,0
23,19,190,52,56,36,33,41,0,0,0,0,6.69,25,1351.72,False,True,False,False,False,False,True,4
160,17,176,49,56,38,39,51,0,0,0,0,6.87,28,1351.72,False,False,False,True,False,False,True,2
160,27,176,54,61,30,30,56,0,0,0,0,7.1,28,1346.82,False,False,False,True,False,False,True,2
360,28,173,55,59,35,45,55,0,0,0,0,6.89,23,1346.82,False,False,False,True,True,False,False,8
230,29,173,52,65,33,37,57,0,0,0,0,7.3,26,1346.82,True,False,False,False,False,False,True,3
145,33,186,35,44,52,54,44,0,0,0,0,7.07,25,1346.82,True,False,False,False,False,False,True,3
180,29,188,34,44,42,53,41,0,0,0,0,6.83,27,1346.82,True,False,False,False,False,False,True,3
130,33,174,47,63,31,42,52,0,0,0,0,7.18,22,1346.82,True,False,False,False,False,True,False,5
69,23,188,59,78,29,29,55,0,0,0,0,7.17,21,1346.82,False,False,False,True,False,False,True,2
135,19,187,43,58,47,52,48,0,0,0,0,7.03,24,1346.82,True,False,False,False,False,False,True,3
160,35,182,34,49,50,59,40,0,0,0,0,6.72,22,1346.82,True,False,False,False,False,False,True,3
78,33,180,39,49,39,43,43,0,0,0,0,6.65,22,1346.82,True,False,False,False,False,False,True,3
78,27,191,0,0,13,0,0,38,24,51,55,6.84,16,1346.82,False,False,True,False,False,False,True,0
140,32,179,63,56,47,29,38,0,0,0,0,6.87,22,1346.82,False,True,False,False,False,False,True,4
180,27,172,62,71,35,29,60,0,0,0,0,7.63,21,1346.82,False,False,False,True,False,False,True,2
71,29,178,53,61,39,33,57,0,0,0,0,7.26,21,1346.82,False,False,False,True,False,False,True,2
145,33,186,42,62,45,51,48,0,0,0,0,7.3,20,1346.82,True,False,False,False,False,False,True,3
97,28,180,39,57,33,41,45,0,0,0,0,6.78,20,1346.82,True,False,False,False,False,False,True,3
72,28,192,0,0,11,0,0,38,18,50,40,6.87,22,1346.82,False,False,True,False,False,False,True,0
46,29,170,47,59,39,42,46,0,0,0,0,6.98,21,1346.82,False,False,False,True,False,False,True,2
77,25,178,57,61,33,25,49,0,0,0,0,6.98,22,1346.82,False,False,False,True,False,False,True,2
90,30,191,52,53,35,37,49,0,0,0,0,7.1,22,1346.82,False,False,False,True,False,False,True,2
77,30,183,40,52,43,45,48,0,0,0,0,6.97,21,1346.82,True,False,False,False,False,True,False,5
105,25,185,36,49,38,46,42,0,0,0,0,6.77,18,1346.82,True,False,False,False,False,False,True,3
77,34,187,40,49,54,58,44,0,0,0,0,7.19,17,1346.82,True,False,False,False,False,False,True,3
195,24,183,51,63,29,30,52,0,0,0,0,6.94,21,1346.82,False,False,False,True,False,False,True,2
110,35,187,41,46,38,41,42,0,0,0,0,6.74,19,1346.82,False,False,False,True,False,True,False,6
115,22,188,60,67,36,25,50,0,0,0,0,7.09,21,1346.82,False,False,False,True,False,False,True,2
110,27,185,35,48,52,59,42,0,0,0,0,7.07,18,1346.82,True,False,False,False,False,True,False,5
385,30,177,57,63,39,34,53,0,0,0,0,7.18,23,1346.82,False,False,False,True,False,False,True,2
53,37,183,56,67,35,30,51,0,0,0,0,7.14,19,1346.82,False,False,False,True,True,False,False,8
190,32,183,62,68,48,37,54,0,0,0,0,7.53,17,1346.82,False,False,False,True,False,True,False,6
170,23,190,35,50,52,60,42,0,0,0,0,7.14,20,1346.82,True,False,False,False,False,False,True,3
120,32,180,57,61,34,37,54,0,0,0,0,7.37,23,1346.82,False,False,False,True,False,False,True,2
135,35,181,44,57,48,53,46,0,0,0,0,7.34,22,1346.82,True,False,False,False,False,False,True,3
365,25,171,66,81,50,30,57,0,0,0,0,7.71,26,1346.82,False,True,False,False,True,False,False,1
